	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)
VARIABLES	Conflict Lcs_em_FemAnimal	Price Lcs_stress_DomAsset	Price Lcs_stress_Saving	Price Lcs_stress_EatOut	Price Lcs_stress_BorrowCash	Price Lcs_stress_BorrowFood	Price Lcs_stress_MoreLabour	Price Lcs_stress_Animals	Price Lcs_crisis_ProdAssets	Price Lcs_crisis_Edu_Health	Price Lcs_crisis_OutSchool	Price Lcs_em_ResAsset	Price Lcs_em_Begged	Price Lcs_em_IllegalAct	Price Lcs_em_FemAnimal	Seasonal Lcs_stress_DomAsset	Seasonal Lcs_stress_Saving	Seasonal Lcs_stress_EatOut	Seasonal Lcs_stress_BorrowCash	Seasonal Lcs_stress_BorrowFood	Seasonal Lcs_stress_MoreLabour	Seasonal Lcs_stress_Animals	Seasonal Lcs_crisis_ProdAssets	Seasonal Lcs_crisis_Edu_Health	Seasonal Lcs_crisis_OutSchool	Seasonal Lcs_em_ResAsset	Seasonal Lcs_em_Begged	Seasonal Lcs_em_IllegalAct	Seasonal Lcs_em_FemAnimal	Climate Lcs_stress_DomAsset	Climate Lcs_stress_Saving	Climate Lcs_stress_EatOut	Climate Lcs_stress_BorrowCash	Climate Lcs_stress_BorrowFood	Climate Lcs_stress_MoreLabour	Climate Lcs_stress_Animals	Climate Lcs_crisis_ProdAssets	Climate Lcs_crisis_Edu_Health	Climate Lcs_crisis_OutSchool	Climate Lcs_em_ResAsset	Climate Lcs_em_Begged	Climate Lcs_em_IllegalAct	Climate Lcs_em_FemAnimal	Combined Lcs_stress_DomAsset	Combined Lcs_stress_Saving	Combined Lcs_stress_EatOut	Combined Lcs_stress_BorrowCash	Combined Lcs_stress_BorrowFood	Combined Lcs_stress_MoreLabour	Combined Lcs_stress_Animals	Combined Lcs_crisis_ProdAssets	Combined Lcs_crisis_Edu_Health	Combined Lcs_crisis_OutSchool	Combined Lcs_em_ResAsset	Combined Lcs_em_Begged	Combined Lcs_em_IllegalAct	Combined Lcs_em_FemAnimal	Food Security FCS	Food Security HDDS	Food Security HHS	Food Security CARI
																																																													
zs_maize_spell		0.0168***	-0.00855***	0.0100	-0.0160***	-0.0111	-0.0134*	0.00500	0.0106**	-0.0225***	0.0109**	0.0272***	0.0133***	0.0821***	0.00528																													-0.00559	-0.0165***	0.0264*	-0.0146***	0.0299***	0.0381***	-0.00895**	-0.00211	-0.0381***	0.00100	0.0199**	0.00971*	0.0996***	0.00353				
		(0.00401)	(0.00326)	(0.0116)	(0.00283)	(0.00699)	(0.00714)	(0.00351)	(0.00418)	(0.00306)	(0.00477)	(0.00447)	(0.00408)	(0.0183)	(0.00416)																													(0.00640)	(0.00354)	(0.0141)	(0.00353)	(0.00847)	(0.00795)	(0.00437)	(0.00580)	(0.00382)	(0.00623)	(0.00796)	(0.00562)	(0.0198)	(0.00612)				
zs_millet_spell		0.0228***	0.0187***	-0.00902	0.0298***	0.0244***	0.0251***	0.0169***	0.0169***	0.0152***	0.0248***	0.0250***	0.0264***	-0.0214*	0.0182***																													0.0115**	0.0115***	-0.0159*	0.0218***	0.0211***	0.0190***	0.0178***	0.00825*	0.0120***	0.0184***	0.00212	0.00637	-0.0237	0.00738				
		(0.00386)	(0.00326)	(0.00760)	(0.00248)	(0.00514)	(0.00486)	(0.00327)	(0.00407)	(0.00304)	(0.00446)	(0.00529)	(0.00366)	(0.0118)	(0.00388)																													(0.00458)	(0.00340)	(0.00937)	(0.00291)	(0.00649)	(0.00612)	(0.00339)	(0.00469)	(0.00334)	(0.00550)	(0.00681)	(0.00447)	(0.0168)	(0.00486)				
zs_rice_spell		0.000183	-0.0126***	-0.000199	-0.0222***	-0.0244***	-0.0105***	0.00318	0.00129	-0.00437**	-0.00278	-0.00344	-0.0132***	9.89e-05	-0.00774**																													0.00979***	-0.00240	0.0107*	-0.0159***	-0.00519	-0.00755**	0.00388	0.00707**	0.00515**	0.00536	0.0117**	-0.000961	0.0174**	0.000410				
		(0.00290)	(0.00240)	(0.00528)	(0.00197)	(0.00375)	(0.00341)	(0.00272)	(0.00308)	(0.00221)	(0.00393)	(0.00436)	(0.00324)	(0.00821)	(0.00360)																													(0.00355)	(0.00243)	(0.00580)	(0.00220)	(0.00404)	(0.00367)	(0.00299)	(0.00350)	(0.00239)	(0.00417)	(0.00483)	(0.00362)	(0.00877)	(0.00433)				
zs_cowpea_spell		-0.00361	-0.00697***	0.000175	-0.00740***	0.0359***	0.0172***	-0.00504*	-0.00753**	0.00772***	-0.00353	-0.0132***	-0.0156***	-0.0589***	-0.0108***																													0.00666**	-0.00897***	-0.0361***	-0.00560**	-0.0115*	-0.00662	0.00557*	-0.00125	0.0113***	-0.00575	-0.0277***	-0.0276***	-0.0887***	-0.0171***				
		(0.00263)	(0.00231)	(0.00833)	(0.00209)	(0.00501)	(0.00521)	(0.00280)	(0.00309)	(0.00231)	(0.00350)	(0.00363)	(0.00355)	(0.0152)	(0.00317)																													(0.00319)	(0.00253)	(0.00989)	(0.00231)	(0.00612)	(0.00614)	(0.00330)	(0.00373)	(0.00255)	(0.00432)	(0.00508)	(0.00441)	(0.0169)	(0.00394)				
zs_peanut_spell		-0.0152***	-0.00924***	-0.0181	-0.0246***	-0.00542	0.0347***	-0.0116***	-0.0190***	0.0102***	-0.0146***	-0.0273***	-0.00686	-0.0490	-0.0249***																													-0.00590	-0.00126	-0.0356**	-0.0143***	-0.00105	0.0241**	-0.00295	-0.0113**	0.0139***	-0.0132**	-0.0232***	-0.00523	-0.0513	-0.0138***				
