
="",="(1)",="(2)",="(3)",="(4)"
="",="FCS",="HDDS",="HHS",="CARI"

="main",="",="",="",=""
="C_hat_Lcs_stress_DomAsset",="0.0467",="-0.387",="0.717*",="-0.333"
="",="(0.343)",="(0.280)",="(0.360)",="(0.258)"

="C_hat_Lcs_stress_Saving",="-2.030***",="-0.933***",="-0.555*",="-2.433***"
="",="(0.253)",="(0.205)",="(0.268)",="(0.191)"

="C_hat_Lcs_stress_EatOut",="-0.520***",="-0.371***",="0.369***",="-0.253***"
="",="(0.0998)",="(0.0785)",="(0.111)",="(0.0728)"

="C_hat_Lcs_stress_BorrowCash",="3.919***",="4.334***",="-0.815*",="3.748***"
="",="(0.324)",="(0.265)",="(0.329)",="(0.238)"

="C_hat_Lcs_stress_BorrowFood",="-0.319***",="-0.0945",="-0.177*",="-0.278***"
="",="(0.0683)",="(0.0565)",="(0.0770)",="(0.0519)"

="C_hat_Lcs_stress_MoreLabour",="0.316**",="-0.0801",="0.513***",="0.511***"
="",="(0.0997)",="(0.0813)",="(0.114)",="(0.0731)"

="C_hat_Lcs_stress_Animals",="3.651***",="2.874***",="0.657",="3.383***"
="",="(0.327)",="(0.271)",="(0.355)",="(0.248)"

="C_hat_Lcs_crisis_ProdAssets",="2.648***",="2.711***",="-1.289***",="2.722***"
="",="(0.219)",="(0.176)",="(0.241)",="(0.160)"

="C_hat_Lcs_crisis_Edu_Health",="1.261***",="-0.0691",="0.643*",="1.920***"
="",="(0.247)",="(0.198)",="(0.274)",="(0.187)"

="C_hat_Lcs_crisis_OutSchool",="-3.228***",="-2.776***",="-1.466***",="-3.934***"
="",="(0.272)",="(0.222)",="(0.290)",="(0.205)"

="C_hat_Lcs_em_ResAsset",="1.403***",="0.560**",="1.725***",="2.513***"
="",="(0.244)",="(0.199)",="(0.248)",="(0.185)"

="C_hat_Lcs_em_Begged",="-2.423***",="-1.928***",="-0.679**",="-3.261***"
="",="(0.210)",="(0.172)",="(0.230)",="(0.159)"

="C_hat_Lcs_em_IllegalAct",="0.623***",="0.650***",="-0.256",="0.840***"
="",="(0.115)",="(0.0943)",="(0.131)",="(0.0865)"

="C_hat_Lcs_em_FemAnimal",="-3.304***",="-2.247***",="-0.730**",="-3.466***"
="",="(0.193)",="(0.153)",="(0.223)",="(0.143)"

="deadliness",="-0.0167***",="-0.00989***",="-0.00955***",="-0.0254***"
="",="(0.00271)",="(0.00217)",="(0.00284)",="(0.00198)"

