
="",="(1)"
="",="Lcs_stress_DomAsset"

="Lcs_stress_DomAsset",=""
="shock_4",="-0.390***"
="",="(0.0583)"

="shock_5",="-0.659***"
="",="(0.0316)"

="shock_6",="-0.511***"
="",="(0.0451)"

="shock_7",="-0.226***"
="",="(0.0229)"

="education_head",="0.125***"
="",="(0.0179)"

="marital_head",="-0.0273"
="",="(0.0436)"

="sex_head",="-0.400***"
="",="(0.0420)"

="area",="-0.380***"
="",="(0.0240)"

="_cons",="-1.122***"
="",="(0.0314)"

="N",="65092"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_stress_DomAsset"

="Lcs_stress_DomAsset",=""
="shock_4",="-0.390***"
="",="(0.0583)"

="shock_5",="-0.659***"
="",="(0.0316)"

="shock_6",="-0.511***"
="",="(0.0451)"

="shock_7",="-0.226***"
="",="(0.0229)"

="education_head",="0.125***"
="",="(0.0179)"

="marital_head",="-0.0273"
="",="(0.0436)"

="sex_head",="-0.400***"
="",="(0.0420)"

="area",="-0.380***"
="",="(0.0240)"

="_cons",="-1.122***"
="",="(0.0314)"

="N",="65092"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_stress_Saving"

="Lcs_stress_Saving",=""
="shock_4",="0.0123"
="",="(0.0458)"

="shock_5",="-0.238***"
="",="(0.0229)"

="shock_6",="-0.298***"
="",="(0.0340)"

="shock_7",="-0.151***"
="",="(0.0187)"

="education_head",="0.140***"
="",="(0.0151)"

="marital_head",="-0.0991**"
="",="(0.0374)"

="sex_head",="-0.162***"
="",="(0.0372)"

="area",="-0.312***"
="",="(0.0188)"

="_cons",="-0.528***"
="",="(0.0293)"

="N",="39573"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_stress_EatOut"

="Lcs_stress_EatOut",=""
="shock_4",="-0.543***"
="",="(0.0653)"

