
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Lcs_stress_DomAsset",="Lcs_stress_Saving",="Lcs_stress_EatOut",="Lcs_stress_BorrowCash",="Lcs_stress_BorrowFood",="Lcs_stress_MoreLabour",="Lcs_stress_Animals",="Lcs_crisis_ProdAssets",="Lcs_crisis_Edu_Health",="Lcs_crisis_OutSchool",="Lcs_em_ResAsset",="Lcs_em_Begged",="Lcs_em_IllegalAct",="Lcs_em_FemAnimal"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="deadliness",="0.00150***",="0.000876***",="0.00307*",="0.00189***",="-0.00406***",="0.00437***",="-0.000966***",="0.00119***",="0.00128***",="0.00168***",="0.00221***",="0.00186***",="0.00430",="0.00175***"
="",="(0.000275)",="(0.000265)",="(0.00148)",="(0.000231)",="(0.000892)",="(0.000872)",="(0.000285)",="(0.000290)",="(0.000250)",="(0.000326)",="(0.000344)",="(0.000309)",="(0.00283)",="(0.000300)"

="danger",="0.0233***",="0.00371*",="-0.0116",="-0.00857***",="0.0210***",="-0.0247***",="0.0256***",="0.0197***",="0.0113***",="0.0120***",="0.0128***",="0.0131***",="-0.0380*",="0.0110***"
="",="(0.00193)",="(0.00177)",="(0.00910)",="(0.00149)",="(0.00520)",="(0.00524)",="(0.00185)",="(0.00200)",="(0.00167)",="(0.00250)",="(0.00267)",="(0.00239)",="(0.0181)",="(0.00210)"

="diffusion",="-1.458***",="0.216",="-0.537",="-0.525***",="0.927***",="0.559**",="-1.876***",="-1.478***",="0.00692",="-0.418",="-1.163***",="-1.373***",="-0.739",="-1.119***"
="",="(0.248)",="(0.174)",="(0.357)",="(0.142)",="(0.236)",="(0.202)",="(0.280)",="(0.256)",="(0.170)",="(0.280)",="(0.330)",="(0.251)",="(0.618)",="(0.289)"

="fragmentation",="-0.0555***",="-0.0235***",="-0.0460***",="-0.0238***",="-0.0244**",="-0.00122",="-0.0326***",="-0.0686***",="-0.0245***",="0.00647",="0.0158",="0.0303***",="-0.0125",="-0.0299***"
="",="(0.00734)",="(0.00637)",="(0.0134)",="(0.00486)",="(0.00844)",="(0.00818)",="(0.00659)",="(0.00771)",="(0.00585)",="(0.00941)",="(0.0102)",="(0.00882)",="(0.0229)",="(0.00776)"

="zs_maize_inte",="-0.0470***",="0.000309",="-0.0556***",="0.00289",="0.0466***",="0.0560***",="-0.00139",="-0.0137",="-0.00498",="0.00583",="0.00116",="-0.00928",="-0.121***",="-0.0158"
="",="(0.00938)",="(0.00694)",="(0.0161)",="(0.00549)",="(0.00899)",="(0.00832)",="(0.00818)",="(0.00946)",="(0.00690)",="(0.0108)",="(0.0117)",="(0.00965)",="(0.0292)",="(0.00981)"

="zs_millet_inte",="0.0861***",="0.0120",="0.114***",="0.00636",="0.0883***",="0.0545***",="0.0284***",="0.0395***",="0.0356***",="0.0421***",="0.0706***",="0.0654***",="0.247***",="0.0204*"
="",="(0.00771)",="(0.00625)",="(0.0173)",="(0.00533)",="(0.0125)",="(0.0115)",="(0.00771)",="(0.00832)",="(0.00628)",="(0.00953)",="(0.0111)",="(0.00856)",="(0.0255)",="(0.00912)"

="zs_rice_inte",="0.0105",="-0.0724***",="-0.0760***",="-0.0923***",="-0.0583***",="-0.0902***",="0.0379***",="-0.0134",="-0.0591***",="-0.0358***",="-0.0566***",="-0.0559***",="-0.0200",="-0.0358***"
="",="(0.00866)",="(0.00624)",="(0.0164)",="(0.00518)",="(0.00976)",="(0.00925)",="(0.00731)",="(0.00903)",="(0.00628)",="(0.0103)",="(0.0122)",="(0.0100)",="(0.0297)",="(0.00904)"

="zs_sorghum_inte",="-0.0125*",="0.0199***",="0.000745",="0.0231***",="-0.00579*",="0.00645**",="-0.000961",="0.00190",="0.00271",="-0.00690",="-0.0222**",="0.00270",="-0.0420**",="0.00636"
="",="(0.00485)",="(0.00236)",="(0.00468)",="(0.00181)",="(0.00280)",="(0.00245)",="(0.00556)",="(0.00412)",="(0.00235)",="(0.00454)",="(0.00806)",="(0.00350)",="(0.0151)",="(0.00616)"

="R_drought",="-0.0216***",="-0.00106",="-0.0249***",="-0.0213***",="-0.0384***",="-0.0287***",="-0.0104***",="-0.0166***",="-0.0275***",="-0.0214***",="-0.0229***",="-0.0250***",="-0.0159**",="-0.0138***"
="",="(0.00227)",="(0.00158)",="(0.00320)",="(0.00135)",="(0.00226)",="(0.00207)",="(0.00186)",="(0.00237)",="(0.00169)",="(0.00268)",="(0.00321)",="(0.00245)",="(0.00548)",="(0.00235)"

="R_flood",="0.0299***",="0.0544***",="0.0739***",="0.0871***",="0.0795***",="0.0514***",="0.0168**",="0.0462***",="0.0489***",="0.0249**",="0.00822",="-0.0219**",="0.0453*",="0.0613***"
="",="(0.00663)",="(0.00593)",="(0.0102)",="(0.00421)",="(0.00636)",="(0.00634)",="(0.00603)",="(0.00678)",="(0.00523)",="(0.00880)",="(0.00965)",="(0.00832)",="(0.0191)",="(0.00712)"

="R_heat",="-0.0471***",="0.0332***",="-0.0829***",="-0.0325***",="-0.0685***",="-0.0889***",="-0.00380",="-0.0282",="-0.0888***",="-0.0836***",="-0.0982***",="-0.100***",="-0.0734*",="-0.0420**"
="",="(0.0141)",="(0.00937)",="(0.0205)",="(0.00847)",="(0.0144)",="(0.0133)",="(0.0116)",="(0.0148)",="(0.0106)",="(0.0165)",="(0.0200)",="(0.0149)",="(0.0350)",="(0.0147)"

="R_composite",="0.118***",="-0.0506**",="0.200***",="0.0889***",="0.182***",="0.209***",="0.0178",="0.0750*",="0.208***",="0.194***",="0.219***",="0.227***",="0.163*",="0.101***"
="",="(0.0286)",="(0.0192)",="(0.0414)",="(0.0172)",="(0.0290)",="(0.0269)",="(0.0236)",="(0.0299)",="(0.0215)",="(0.0336)",="(0.0405)",="(0.0304)",="(0.0710)",="(0.0298)"

="area",="0.0465",="-0.148***",="-0.107",="0.0109",="-0.222***",="-0.0888*",="-0.116**",="0.0870*",="-0.0732*",="-0.0742",="0.0596",="0.115**",="-0.0214",="0.0461"
="",="(0.0393)",="(0.0336)",="(0.0624)",="(0.0254)",="(0.0396)",="(0.0368)",="(0.0397)",="(0.0404)",="(0.0317)",="(0.0515)",="(0.0535)",="(0.0436)",="(0.102)",="(0.0443)"

="education_head",="-0.0742**",="0.0490*",="-0.0954*",="-0.0866***",="-0.161***",="-0.0781***",="0.0111",="-0.0323",="-0.0190",="-0.107***",="-0.0706",="-0.0379",="0.0732",="-0.102***"
="",="(0.0268)",="(0.0207)",="(0.0382)",="(0.0162)",="(0.0243)",="(0.0226)",="(0.0235)",="(0.0279)",="(0.0199)",="(0.0322)",="(0.0363)",="(0.0298)",="(0.0665)",="(0.0278)"

="marital_head",="0.0416",="-0.0722",="-0.154",="-0.0163",="0.0969",="-0.0109",="-0.0313",="-0.0946",="-0.108*",="-0.0353",="-0.00307",="-0.120",="0.0662",="0.0308"
